epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.669,0.91446,0.86672,0.99382,0.7548,0.72371,0.79996,0.52519,0.88946,0.53414,0.96237,0.0670527,0.000332801,0.000332801
2,484.549,0.75281,0.48894,0.92714,0.8906,0.74816,0.8719,0.62575,0.81377,0.46423,0.94578,0.0340461,0.000659539,0.000659539
3,724.481,0.69725,0.41397,0.90388,0.8009,0.89684,0.90542,0.62968,0.76828,0.40957,0.93132,0.00103293,0.000979678,0.000979678
4,958.977,0.65548,0.37819,0.89005,0.85347,0.85993,0.92684,0.67041,0.77436,0.39578,0.93283,0.0009703,0.0009703,0.0009703
5,1201.4,0.6202,0.34834,0.87815,0.92397,0.87702,0.9211,0.6929,0.73997,0.3674,0.91998,0.0009604,0.0009604,0.0009604
6,1441.95,0.58827,0.32418,0.86618,0.92929,0.88886,0.9377,0.73051,0.72913,0.36241,0.91764,0.0009505,0.0009505,0.0009505
7,1679.93,0.56968,0.31567,0.86069,0.86716,0.92268,0.94776,0.73063,0.71347,0.35309,0.91902,0.0009406,0.0009406,0.0009406
8,1915.83,0.53764,0.29535,0.85142,0.9169,0.92855,0.94449,0.72802,0.69904,0.34035,0.91067,0.0009307,0.0009307,0.0009307
9,2154.35,0.51768,0.28871,0.84455,0.92018,0.92578,0.94682,0.74367,0.69954,0.34182,0.91115,0.0009208,0.0009208,0.0009208
10,2391.13,0.50479,0.27916,0.83916,0.89542,0.94272,0.96284,0.76128,0.68712,0.33027,0.90904,0.0009109,0.0009109,0.0009109
11,2636,0.48183,0.26908,0.83242,0.86562,0.94781,0.9497,0.75063,0.66882,0.32701,0.90334,0.000901,0.000901,0.000901
12,2869.18,0.46307,0.25801,0.82694,0.94577,0.8949,0.94957,0.76741,0.66265,0.32215,0.90473,0.0008911,0.0008911,0.0008911
13,3107.79,0.44597,0.25274,0.82287,0.87955,0.93569,0.94676,0.76825,0.66479,0.31749,0.90521,0.0008812,0.0008812,0.0008812
14,3349.83,0.43114,0.24693,0.81822,0.92694,0.91586,0.95476,0.77847,0.64409,0.31053,0.90041,0.0008713,0.0008713,0.0008713
15,3585.48,0.41519,0.23976,0.81363,0.92924,0.90455,0.94163,0.76408,0.64805,0.31229,0.90125,0.0008614,0.0008614,0.0008614
16,3826.95,0.40203,0.23383,0.81011,0.92031,0.92178,0.94043,0.77767,0.64174,0.30844,0.89933,0.0008515,0.0008515,0.0008515
17,4058.64,0.39158,0.23062,0.80649,0.9573,0.87397,0.94403,0.75848,0.63612,0.30678,0.89781,0.0008416,0.0008416,0.0008416
18,4304.67,0.38177,0.22685,0.80413,0.94763,0.9336,0.95951,0.7846,0.63539,0.30568,0.90167,0.0008317,0.0008317,0.0008317
19,4544.65,0.36653,0.21798,0.79927,0.93262,0.92796,0.93802,0.77167,0.62854,0.30089,0.90361,0.0008218,0.0008218,0.0008218
20,4777.66,0.35508,0.21184,0.79613,0.92527,0.91002,0.9426,0.77814,0.61346,0.29717,0.89796,0.0008119,0.0008119,0.0008119
21,5010.4,0.33764,0.20645,0.79258,0.91796,0.92523,0.93661,0.7829,0.61537,0.29773,0.90008,0.000802,0.000802,0.000802
22,5243.89,0.33339,0.20494,0.79093,0.93629,0.89384,0.93927,0.78286,0.60666,0.29475,0.90078,0.0007921,0.0007921,0.0007921
23,5475.69,0.3201,0.19839,0.7875,0.95532,0.87915,0.94246,0.79418,0.60206,0.28861,0.90056,0.0007822,0.0007822,0.0007822
24,5712.29,0.309,0.19231,0.78509,0.85229,0.91872,0.94323,0.78636,0.59734,0.28982,0.89993,0.0007723,0.0007723,0.0007723
25,5944.32,0.30437,0.19032,0.7839,0.90532,0.91933,0.93866,0.79261,0.59255,0.28783,0.90003,0.0007624,0.0007624,0.0007624
26,6176.52,0.295,0.18653,0.78203,0.91387,0.93516,0.95186,0.79035,0.58098,0.2799,0.89785,0.0007525,0.0007525,0.0007525
27,6410.34,0.27648,0.17747,0.77823,0.93707,0.91942,0.93334,0.79076,0.58517,0.28089,0.90353,0.0007426,0.0007426,0.0007426
28,6643.69,0.28103,0.17944,0.7782,0.9272,0.92285,0.95098,0.79923,0.58286,0.28284,0.90248,0.0007327,0.0007327,0.0007327
29,6872.71,0.2706,0.17436,0.77638,0.92381,0.92076,0.94777,0.80296,0.57804,0.27972,0.8982,0.0007228,0.0007228,0.0007228
30,7106.44,0.27186,0.1756,0.77706,0.8987,0.94156,0.95425,0.80436,0.57786,0.27733,0.8979,0.0007129,0.0007129,0.0007129
