split,id,name,count,percent
train,0,armatura_ruchn,4298,30.95
train,33,datchik,1697,12.22
train,38,strelka,1662,11.97
train,35,output,1508,10.86
train,6,perehod,1323,9.53
train,21,voronka,852,6.14
train,3,armatura_electro,780,5.62
train,1,klapan_obratn,282,2.03
train,5,drossel,261,1.88
train,4,regulator_electro,185,1.33
train,11,nasos,172,1.24
train,17,teploobmen,146,1.05
train,13,predohran,136,0.98
train,22,filtr_meh,130,0.94
train,8,armatura_seroprivod,80,0.58
train,15,rashodomernaya_shaiba,72,0.52
train,2,regulator_ruchn,64,0.46
train,18,zaglushka,49,0.35
train,25,celindr_turb,45,0.32
train,20,bak,25,0.18
train,14,condensatootvod,22,0.16
train,32,smotrowoe_steclo,19,0.14
train,9,regulator_seroprivod,19,0.14
train,7,klapan_obratn_seroprivod,13,0.09
train,27,bistro_redukc_ustr,8,0.06
train,10,armatura_membr_electro,6,0.04
train,30,silfonnii_kompensator,6,0.04
train,29,dearator,5,0.04
train,24,kapleulov,5,0.04
train,19,gidrozatvor,4,0.03
train,28,separator_paro,4,0.03
train,26,redukcion_ustr,3,0.02
train,12,ventilaytor,2,0.01
train,16,vodostruiniy_nasos,2,0.01
train,31,electronagrevat,1,0.01
train,23,separator,1,0.01
