split,id,name,count,percent
train_augmented,0,armatura_ruchn,4298,25.71
train_augmented,33,datchik,1697,10.15
train_augmented,38,strelka,1662,9.94
train_augmented,35,output,1508,9.02
train_augmented,6,perehod,1323,7.91
train_augmented,21,voronka,852,5.1
train_augmented,3,armatura_electro,780,4.67
train_augmented,1,klapan_obratn,282,1.69
train_augmented,5,drossel,261,1.56
train_augmented,12,ventilaytor,200,1.2
train_augmented,19,gidrozatvor,200,1.2
train_augmented,16,vodostruiniy_nasos,200,1.2
train_augmented,26,redukcion_ustr,200,1.2
train_augmented,31,electronagrevat,200,1.2
train_augmented,23,separator,200,1.2
train_augmented,29,dearator,200,1.2
train_augmented,28,separator_paro,200,1.2
train_augmented,10,armatura_membr_electro,200,1.2
train_augmented,4,regulator_electro,185,1.11
train_augmented,11,nasos,172,1.03
train_augmented,14,condensatootvod,150,0.9
train_augmented,24,kapleulov,150,0.9
train_augmented,7,klapan_obratn_seroprivod,150,0.9
train_augmented,32,smotrowoe_steclo,150,0.9
train_augmented,9,regulator_seroprivod,150,0.9
train_augmented,27,bistro_redukc_ustr,150,0.9
train_augmented,18,zaglushka,150,0.9
train_augmented,30,silfonnii_kompensator,150,0.9
train_augmented,17,teploobmen,146,0.87
train_augmented,13,predohran,136,0.81
train_augmented,22,filtr_meh,130,0.78
train_augmented,8,armatura_seroprivod,80,0.48
train_augmented,15,rashodomernaya_shaiba,72,0.43
train_augmented,2,regulator_ruchn,64,0.38
train_augmented,25,celindr_turb,45,0.27
train_augmented,20,bak,25,0.15
