class_id,class_name,count,size_min_px,size_max_px,is_rare
0,id_0,3962,14.1,124.1,NO
1,id_1,279,21.0,147.0,NO
2,id_2,53,30.3,133.0,NO
3,id_3,814,27.6,174.0,NO
4,id_4,170,34.5,158.3,NO
5,id_5,303,26.0,131.3,NO
6,id_6,1335,9.4,69.9,NO
7,id_7,11,36.8,163.0,YES
8,id_8,80,40.5,160.5,NO
9,id_9,27,40.6,162.8,YES
10,id_10,9,77.1,176.4,YES
11,id_11,181,48.9,211.2,NO
12,id_12,5,80.6,201.7,YES
13,id_13,154,34.7,178.3,NO
14,id_14,25,43.2,161.9,YES
15,id_15,82,36.9,172.6,NO
16,id_16,3,57.0,182.7,YES
17,id_17,143,58.2,230.7,NO
18,id_18,37,24.8,113.8,YES
19,id_19,5,92.9,190.0,YES
20,id_20,30,75.9,778.6,YES
21,id_21,820,19.7,137.2,NO
22,id_22,126,45.1,223.1,NO
23,id_23,7,50.7,201.0,YES
24,id_24,9,75.4,186.1,YES
25,id_25,59,216.2,1549.7,NO
26,id_26,5,45.3,137.2,YES
27,id_27,21,64.8,172.0,YES
28,id_28,5,107.1,232.0,YES
29,id_29,7,314.2,873.0,YES
30,id_30,26,55.0,201.6,YES
31,id_31,5,136.6,217.0,YES
32,id_32,31,44.3,172.6,YES
33,id_33,1820,29.8,111.7,NO
35,id_35,1578,48.4,207.6,NO
38,id_38,1574,26.7,101.3,NO
