class_id,class_name,count,min_size,max_size,rare
0,armatura_ruchn,4298,16,83,no
1,klapan_obratn,282,24,76,no
2,regulator_ruchn,64,38,67,no
3,armatura_electro,780,31,105,no
4,regulator_electro,185,39,98,no
5,drossel,261,29,104,no
6,perehod,1323,10,75,no
7,klapan_obratn_seroprivod,13,41,72,yes
8,armatura_seroprivod,80,47,217,no
9,regulator_seroprivod,19,59,76,yes
10,armatura_membr_electro,6,89,92,yes
11,nasos,172,57,171,no
12,ventilaytor,2,91,126,yes
13,predohran,136,39,107,no
14,condensatootvod,22,48,82,yes
15,rashodomernaya_shaiba,72,40,118,no
16,vodostruiniy_nasos,2,67,79,yes
17,teploobmen,146,65,261,no
18,zaglushka,49,29,61,yes
19,gidrozatvor,4,124,203,yes
20,bak,25,86,874,yes
21,voronka,852,25,89,no
22,filtr_meh,130,51,145,no
23,separator,1,123,123,yes
24,kapleulov,5,86,241,yes
25,celindr_turb,45,234,790,yes
26,redukcion_ustr,3,53,53,yes
27,bistro_redukc_ustr,8,73,89,yes
28,separator_paro,4,132,133,yes
29,dearator,5,408,1060,yes
30,silfonnii_kompensator,6,64,82,yes
31,electronagrevat,1,154,154,yes
32,smotrowoe_steclo,19,53,76,yes
33,datchik,1697,32,105,no
35,output,1508,52,142,no
38,strelka,1662,28,135,no
